id,category,harga,jumlah_kamar,jumlah_kamar_mandi,luas_garasi,luas_bangunan,luas_lahan,name,link,bandung,jarak,harga_satuan,lon,lat
HO63332C9645EABID,house,5500000000,5,3,2,550,375,Rumah Besar Mewah di Batununggal Indah Strategis,https://www.lamudi.co.id/rumah-besar-mewah-di-batununggal-indah-strategis-166429813410.html,true,4.614049491572041,5945945.945945946,107.630444,-6.953123
HO60CC740D7C29CID,house,800000000,6,2,0,105,123,Dijual Ruma di Tengah Kota,https://www.lamudi.co.id/dijual-ruma-di-tengah-kota.html,true,1.4053211167229802,3508771.9298245613,107.60583,-6.90833
LA63568307B3D2FID,land,432000000,,,,,120,"Jual Tanah Terbaik Kota Bandung, Legalitas Lengkap",https://www.lamudi.co.id/jual-tanah-terbaik-kota-bandung-legalitas-lengkap-166661402381.html,true,9.29242319833447,,107.68833,-6.92222
HO614442350A9BCID,house,665000000,2,2,2,45,65,Riung Gallery. Rumah Private Cluster di Bandung Kota 600 jutaan. Soekarno-Hatta.,https://www.lamudi.co.id/riung-gallery-rumah-private-cluster-di-bandung-kota-600-jutaan-soekarno-hatta.html,true,8.65230884220602,6045454.545454546,107.679137,-6.94355
HO635BBD966FA73ID,house,850000000,3,2,1,100,122,dryt Rumah bagus di Margahayu dekat Metro Indah Mall,https://www.lamudi.co.id/dryt-rumah-bagus-di-margahayu-dekat-metro-indah-ma-166695669460.html,true,9.135860530822436,3828828.828828829,107.682183,-6.94827
HO631452A303ED4ID,house,1499999999,2,2,1,71,147,Rumah Kota Bandung Gegerkalong Sarijadi bandung utara,https://www.lamudi.co.id/rumah-kota-bandung-gegerkalong-sarijadi-bandung-ut-166227625965.html,true,6.29947250195087,6880733.940366972,107.57803,-6.870494
HO6225BB8E9DCD2ID,house,745000000,2,2,,0,60,Rumah Industrial Dekat Sekolah Al-Ghifari,https://www.lamudi.co.id/rumah-industrial-dekat-sekolah-al-ghifari.html,true,8.4862117484379,12416666.666666666,107.681035,-6.921523
HO62D8BFE531860ID,house,1267000000,3,2,1,88,112,Cassario TownHouse,https://www.lamudi.co.id/cassario-townhouse-165837206994.html,true,8.614262384956815,6335000,107.677577,-6.947127
HO61CACB1370FE9ID,house,1400000000,3,2,,126,126,Rumah Semi Furnish Strategis Kawasan Buana Indah,https://www.lamudi.co.id/rumah-semi-furnish-strategis-kawasan-buana-indah.html,true,1.1195394654087185,5555555.555555556,107.603137,-6.930876
HO63084885B0939ID,house,23000000000,50,51,8,1700,1000,Rukost (Ex Hotel) Selalu Full Dekat Transmart Buah Batu,https://www.lamudi.co.id/rukost-selalu-full-dekat-transmart-buah-batu-ex-ho-166148723746.html,true,6.03960200738521,8518518.518518519,107.643802,-6.958296
HO620CB1D40DB55ID,house,1900000000,6,3,1,400,257,TURUN HARGA! Dijual Rumah Murah Siap Huni di Pasirluyu Bandung ,https://www.lamudi.co.id/turun-harga-dijual-rumah-murah-siap-huni-di-pasirluyu-bandung.html,true,3.694966537136014,2891933.0289193303,107.628374,-6.943802
HO631AC3AD01980ID,house,9500000000,5,6,4,600,402,RMH SUPER MEWAH DAERAH BUAH BATU LENGKONG JL KINANTI TURANGGA 5KT 6KM,https://www.lamudi.co.id/rmh-super-mewah-daerah-buah-batu-lengkong-jl-kinan-166269841372.html,true,3.1531194564217695,9481037.924151696,107.628596,-6.935543
HO5FE49C68A60BFID,house,875000000,3,2,2,50,104,Dijual Rumah Murah di Pinus Regency,https://www.lamudi.co.id/dijual-rumah-murah-di-pinus-regency.html,true,8.830836373839173,5681818.181818182,107.68261,-6.93642
HO635D317690728ID,house,498000000,2,2,1,50,62,Promo Cash Rumah Mewah Di Cipadung Kota Bandung Dkt Cibiru,https://www.lamudi.co.id/promo-cash-rumah-mewah-di-cipadung-kota-bandung-dk-16670518945.html,true,12.122911375904462,4446428.571428572,107.71345,-6.9316
HO63606484D40D2ID,house,750000000,4,2,1,100,140,rdwn Jarang Ada Rumah Tanah Luas Siap Huni di Cluster Adipura Bandung,https://www.lamudi.co.id/rdwn-jarang-ada-rumah-tanah-luas-siap-huni-di-clus-166726157222.html,true,9.030573469710667,3125000,107.683241,-6.941662
LA6325C70A0AA63ID,land,9561500000,,,,,2942,"50m ke Jl.Cibolerang, Tanah Luas Cocok untuk Gudang",https://www.lamudi.co.id/50m-ke-jl-cibolerang-tanah-luas-cocok-untuk-gudang-16634201705.html,true,5.17630417138081,,107.56746,-6.949839
HO631D80D4CC239ID,house,10000000000,8,3,20,256,404,DIJUAL TANAH DAN BONUS RUMAH  SIAP HUNI 10 M (NEGO) DI KOTA BANDUNG,https://www.lamudi.co.id/dijual-tanah-dan-rumah-klasik-siap-huni-10-m-nego-166287790849.html,true,3.2978021212858075,15151515.151515152,107.61306,-6.94917
