id,category,harga,jumlah_kamar,jumlah_kamar_mandi,luas_garasi,luas_bangunan,luas_lahan,name,link,daerah,lon,lat
HO628209DC6C5DFID,house,220000000,3,1,,90,180,Rumah Dekat Pantai,https://www.lamudi.co.id/rumah-dekat-pantai.html,Tasikmalaya,108.2952,-7.7862
HO60C7381B5C417ID,house,200000000,0,0,0,100,123,Rumah Murah Tasik - Komplek Perumahan Sawati,https://www.lamudi.co.id/rumah-murah-tasik-komplek-perumahan-sawati.html,Tasikmalaya,108.1668,-7.1124
HO6234B768D31C3ID,house,700000000,4,2,1,135,135,Rumah dua lantai Kota Tasikmalaya,https://www.lamudi.co.id/rumah-dua-lantai-kota-tasikmalaya.html,Tasikmalaya,108.20455659361,-7.3222152288621
HO62AB36FA3EA60ID,house,350000000,2,1,,60,120,Dijual Rumah di Tasikmalaya,https://www.lamudi.co.id/dijual-rumah-di-tasikmalaya-17.html,Tasikmalaya,108.13067,-7.33453
LA6284D7A289DEAID,land,13920000000,,,,,16218,"DIJUAL 1,6 HEKTARE TANAH&SAWAH TASIKMALAYA STRATEGIS UNTUK INVESTASI DAN BISNIS",https://www.lamudi.co.id/dijual-1-6-hektare-tanah-sawah-tasikmalaya-strategis-untuk-investasi-dan-bisnis.html,Tasikmalaya,108.0794,-7.32961
HO635C679BF1360ID,house,265000000,2,1,,45,74,JUALCEPAT Sambongjaya - Perum GSM Regency  Babakan Tempe,https://www.lamudi.co.id/jualcepat-sambongjaya-perum-gsm-regency-babakan-te-166700021916.html,Tasikmalaya,108.21027,-7.35757
LA612B93214CD64ID,land,399000000,,,,,268,Jual Tanah Luas 296 m persegi Lokasi Tasikmalaya Kota,https://www.lamudi.co.id/jual-tanah-luas-296-m-persegi-lokasi-tasikmalaya-kota.html,Tasikmalaya,108.23097808659,-7.3452240254281
HO62D8EA6FB5EBEID,house,1750000000,3,3,,56,1042,DI JUAL RUMAH  CLUSTER,https://www.lamudi.co.id/di-jual-rumah-cluster-165838295986.html,Tasikmalaya,108.0876,-7.0603
HO615957C3E5296ID,house,250000000,3,1,,107,108,"Jual Rumah Di Kota Tasikmalaya, Dekat Dgn UNSIL & ASIA PLAZA",https://www.lamudi.co.id/jual-rumah-di-kota-tasikmalaya-dekat-dgn-unsil-asia-plaza.html,Tasikmalaya,108.21808973611,-7.3490378079022
HO6109F23289BD1ID,house,660000000,2,2,1,80,120,Rumah Pribadi Classic Minimalis,https://www.lamudi.co.id/rumah-pribadi-classic-minimalis.html,Tasikmalaya,108.20511,-7.31146
LA626224734948EID,land,970000000,,,,,93,Sawah,https://www.lamudi.co.id/sawah-6.html,Tasikmalaya,108.2674092,-7.3300724
LA605AA4E3B3BBEID,land,40000000000,,,,,33950,jual tanah di wacana kawasan superblok tasikmalaya,https://www.lamudi.co.id/jual-tanah-di-wacana-kawasan-superblok-tasikmalaya.html,Tasikmalaya,108.19287553374,-7.3038205631084
HO630705B6E5E63ID,house,102000000,2,1,,36,74,RUMAH ASETKU – Indihiang (Rumah Tinggal) Kabupaten Tasikmalaya,https://www.lamudi.co.id/rumah-asetku-indihiang-rumah-tinggal-kabupaten-tas-166140459830.html,Tasikmalaya,108.1947129,-7.2954444
HO627E2A188C8B7ID,house,250000000,2,1,,75,75,Bismilah Jual Rumah Murah Minimalis Di Perum Griya Abadi Blok B 23,https://www.lamudi.co.id/bismilah-jual-rumah-murah-minimalis-di-perum-griya-abadi-blok-b-23.html,Tasikmalaya,108.14947,-7.2575
LA619C8EA8A252DID,land,3714000000,,,,,130000,Dijual Cepat!! BU *Tanah Kebun Strategis Di Pinggir Jln Taraju Tasikmalaya  ,https://www.lamudi.co.id/dijual-cepat-bu-tanah-kebun-strategis-di-pinggir-jln-taraju-tasikmalaya.html,Tasikmalaya,108.1037,-7.3019
HO622A36E9A5708ID,house,3500000000,7,4,1,300,216,Jual Rumah Konsep Tumbuh 2 Lantai Strategis Kota Tasikmalaya ,https://www.lamudi.co.id/jual-rumah-konsep-tumbuh-2-lantai-strategis-kota-tasikmalaya.html,Tasikmalaya,108.203294,-7.318648
HO635B518530D37ID,house,450000000,2,2,,50,96,MURAH Perum belakang UNSIL UNPER - Perum BENING REGENCY,https://www.lamudi.co.id/murah-perum-belakang-unsil-unper-perum-bening-rege-166692902969.html,Tasikmalaya,108.22016,-7.35614
HO624393AF13FDFID,house,600000000,3,3,,120,133,Di Jual Murah Rumah Plus Furnished Di Tasikmalaya ,https://www.lamudi.co.id/di-jual-murah-rumah-plus-furnished-di-tasikmalaya.html,Tasikmalaya,108.07765,-7.3793391
CO630C767FBA5A6ID,commercial-1,1300000000,,,,216,461,RUMAH ASETKU – KAWALU (Rumah dan Toko) KOTA TASIKMALAYA,https://www.lamudi.co.id/rumah-asetku-kawalu-rumah-dan-toko-kota-tasikmalay-166176115181.html,Tasikmalaya,108.2140963,-7.369058
LA615093C4467C6ID,land,260000000,,,,,20000,Tanah Darat (kebun) dengan harga murah,https://www.lamudi.co.id/tanah-darat-kebun-dengan-harga-murah.html,Tasikmalaya,108.11884911652,-7.2990054135115
CO6366FB12E6642ID,commercial-1,2250000000,,,,180,114,BU - Ruko LINGKAR DADAHA Strategis MURAH 3 Lantai,https://www.lamudi.co.id/bu-ruko-lingkar-dadaha-strategis-murah-3-lantai-166769333048.html,Tasikmalaya,108.22358,-7.33437
HO63840DCD78458ID,house,325000000,2,1,,50,91,JUAL CEPAT Perumahan Indihiang 50/91 MURAH,https://www.lamudi.co.id/jual-cepat-perumahan-indihiang-lantai-sudah-granit-166959866996.html,Tasikmalaya,108.1876,-7.28212
CO63807F9ABFEB6ID,commercial-1,1500000000,,,,168,85,"RUKO 2,5 lantai di Mangkubumi Kota TASIKMALAYA",https://www.lamudi.co.id/ruko-2-5-lantai-di-mangkubumi-kota-tasikmalaya-166936565826.html,Tasikmalaya,108.15926,-7.34146
HO63842DAFCE3B7ID,house,275000000,3,2,,60,72,Perum Baitul Marhamah MURAH Cilembang Mangkubumi,https://www.lamudi.co.id/perum-baitul-marhamah-murah-cilembang-mangkubumi-166960683177.html,Tasikmalaya,108.19542,-7.32721
KO627DDCB971BE6ID,kos,250000000,5,2,,80,88,Rumah Tasikmalaya Cocok utk Investasi dan Kos,https://www.lamudi.co.id/rumah-tasikmalaya-cocok-utk-investasi-dan-kos.html,Tasikmalaya,108.22634012368,-7.356313605947
HO6312C98B46F45ID,house,4500000000,21,16,1,800,538,Rumah Besar Untuk Usaha Di Pinggir Jalan Raya Tasikmalaya,https://www.lamudi.co.id/rumah-besar-untuk-usaha-di-pinggir-jalan-raya-166217562734.html,Tasikmalaya,108.2334655,-7.3292397
HO621A1C469F2E2ID,house,400000000,3,2,,0,15,bangunan rumah,https://www.lamudi.co.id/bangunan-rumah.html,Tasikmalaya,108.2583,-7.6209
HO6018E29536C0CID,house,640000000,3,2,1,48,84,Rumah 3 kamar Harga Terjangkau Cirebon Greenladn Sendang Cirebon,https://www.lamudi.co.id/rumah-3-kamar-harga-terjangkau-cirebon-greenladn-sendang-cirebon-2.html,Tasikmalaya,108.1812,-7.5148
HO6322962FC8A50ID,house,139200000,2,1,1,48,100,Rumah Kayu Knockdown Dengan Berbagai Jenis Dan Desain Modern Klasik,https://www.lamudi.co.id/rumah-kayu-knockdown-dengan-berbagai-jenis-dan-des-166321105542.html,Tasikmalaya,108.2722,-7.5162
HO6358012E009C3ID,house,800000000,3,1,,75,107,Perum BKR REGENCY  Tipe 75/107,https://www.lamudi.co.id/perum-bkr-regency-tipe-75-107-166671185473.html,Tasikmalaya,108.22434,-7.34184
HO630C7CB381CC5ID,house,330000000,2,1,,36,57,RUMAH ASETKU – MANGKUBUMI (Rumah Tinggal) KOTA TASIKMALAYA,https://www.lamudi.co.id/rumah-asetku-mangkubumi-rumah-tinggal-kota-tasikma-166176273914.html,Tasikmalaya,108.2059718,-7.3374437
LA62A82BCB9A3F7ID,land,1500000000,,,,,6250,Tanah sawah di pusat kota tasikmalaya cocok buat cluster,https://www.lamudi.co.id/tanah-sawah-di-pusat-kota-tasikmalaya-cocok-buat-cluster.html,Tasikmalaya,108.298415,-7.684791
LA6012A6CA2B428ID,land,6270000000,,,0,,22000,Tasik Sayap Cigeureung Nagarasari Cipedes Tasikmalaya,https://www.lamudi.co.id/tasik-sayap-cigeureung-nagarasari-cipedes-tasikmalaya-3.html,Tasikmalaya,108.2382,-7.3844
HO61EF7B2EB13FAID,house,1500000000,3,2,4,140,548,Rumah di Manonjaya,https://www.lamudi.co.id/rumah-di-manonjaya.html,Tasikmalaya,108.306339,-7.351967
LA636F44B82A707ID,land,591000000,,,,,197,Dijual Lahan Kavling Perum Andalusia Mangkubumi Tasikmalaya,https://www.lamudi.co.id/dijual-lahan-kavling-perum-andalusia-mangkubumi-ta-166823647272.html,Tasikmalaya,108.18746402991,-7.3458476617145
HO630C788B4E539ID,house,400000000,2,1,,48,75,RUMAH ASETKU – CIPEDES (Rumah Tinggal) KOTA TASIKMALAYA.,https://www.lamudi.co.id/rumah-asetku-cipedes-rumah-tinggal-kota-tasikmalay-166176167588.html,Tasikmalaya,108.207715,-7.312078
LA5E802B54B3075ID,land,6270000000,,,,,22000,Tasik Sayap Cigeureung Nagarasari Cipedes Tasikmalaya,https://www.lamudi.co.id/tasik-sayap-cigeureung-nagarasari-cipedes-tasikmalaya.html,Tasikmalaya,108.23008,-7.31583
KO62E0F6AEDE1F7ID,kos,750000000,10,3,,372,510,RUMAH ASETKU - TAWANG (Kost-Kostan) KOTA. TASIKMALAYA.,https://www.lamudi.co.id/rumah-asetku-tawang-kost-kostan-kota-tasikmalaya-165936556021.html,Tasikmalaya,108.2248499,-7.3500622
HO6322956319BDFID,house,162400000,2,1,1,56,100,Rumah Kayu Meranti Knockdown Dengan Berbagai Jenis Dan Desain Menarik,https://www.lamudi.co.id/rumah-kayu-meranti-knockdown-dengan-berbagai-jenis-166321085196.html,Tasikmalaya,108.0835783,-7.4360316
HO630C7A7FCEF63ID,house,575000000,2,1,,48,113,RUMAH ASETKU – CIPEDES (Rumah Tinggal) KOTA TASIKMALAYA,https://www.lamudi.co.id/rumah-asetku-cipedes-rumah-tinggal-kota-tasikmalay-166176217537.html,Tasikmalaya,108.2079419,-7.311231
HO625E23F66FED2ID,house,550000000,2,1,1,45,100,Rumah siap huni hanya 5 menit dari stasion tasikmalaya,https://www.lamudi.co.id/rumah-siap-huni-hanya-5-menit-dari-stasion-tasikmalaya-2.html,Tasikmalaya,108.1310083,-7.5584117
HO632297179A03CID,house,121800000,2,1,1,42,100,Rumah Kayu Knockdown Dengan Berbagai Jenis Dan Desain Free Ongkir,https://www.lamudi.co.id/rumah-kayu-knockdown-dengan-berbagai-jenis-dan-des-166321128757.html,Tasikmalaya,108.2057,-7.3247
HO627DAB0C43A85ID,house,650000000,3,3,24,150,84,Rumah 2 lantai lokasi strategis di tasikmalaya,https://www.lamudi.co.id/rumah-2-lantai-lokasi-strategis-di-tasikmalaya.html,Tasikmalaya,108.195231,-7.325218
HO6322A41FB6548ID,house,208800000,2,1,1,72,100,Rumah Kayu Knockdown Dengan Berbagai Jenis Dan Desain Free Ongkir,https://www.lamudi.co.id/rumah-kayu-knockdown-dengan-berbagai-jenis-dan-des-166321462379.html,Tasikmalaya,108.2258897,-7.4714542
LA604B10612DA33ID,land,4045000000,,,,,809,Tanah dekat tempat Wisata Leuwikeris,https://www.lamudi.co.id/tanah-dekat-tempat-wisata-leuwikeris.html,Tasikmalaya,108.361231,-7.363596
HO633A7CC3429A5ID,house,162400000,2,1,1,56,100,Rumah Kayu Meranti Khas Palembang Dengan Berbagai Desain Klasik Modern,https://www.lamudi.co.id/rumah-kayu-meranti-khas-palembang-dengan-berbagai-166477741189.html,Tasikmalaya,108.1305,-7.3103
